tweets,date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
"Joe Diffie, a Grammy-Winning country singer whose hits included “Home” and “Pickup Man,"" died on Sunday in Nashvill… https://t.co/bIM4Bj4KCB",Mon Mar 30 03:20:06 +0000 2020,The New York Times,nytimes,45997178,900,True,,164,343
Two of the U.S.’s largest health insurers agreed to protect their customers from out-of-pocket costs if they need t… https://t.co/GXUi31Ldml,Mon Mar 30 03:30:06 +0000 2020,The New York Times,nytimes,45997178,900,True,,116,364
Read updates in Chinese: 新冠病毒疫情最新消息 https://t.co/aGf3iwMDlx,Mon Mar 30 03:33:28 +0000 2020,The New York Times,nytimes,45997178,900,True,,20,36
"RT @kevinroose: New by me, @sheeraf and @nicoleperlroth: a deep dive into how Facebook, Twitter, and Google are preparing for the 2020 elec…",Mon Mar 30 03:45:01 +0000 2020,The New York Times,nytimes,45997178,900,True,,0,0
"Sabrina Ionescu, who was once called ""the puppet master"" by Kobe Bryant, is projected to be the top draft pick this… https://t.co/3Q5OCDTMTu",Mon Mar 30 04:00:06 +0000 2020,The New York Times,nytimes,45997178,900,True,,27,72
"Markets in the Asia-Pacific region opened broadly lower on Monday, as investors remained nervous about global econo… https://t.co/5b2JAdCgqc",Mon Mar 30 04:10:05 +0000 2020,The New York Times,nytimes,45997178,900,True,,35,71
"Fearful of the coronavirus’s spread, some rural communities have issued bluntly worded orders for second homeowners… https://t.co/usHWUGZs0G",Mon Mar 30 04:20:06 +0000 2020,The New York Times,nytimes,45997178,900,True,,69,184
"RT @ByMikeBaker: An update from Seattle area:
• Hospitals still seeing ""manageable"" caseloads
• Data models suggest transmission rate has d…",Mon Mar 30 04:30:07 +0000 2020,The New York Times,nytimes,45997178,900,True,,0,0
RT @Abihabib: India's lockdown has left hundreds of thousands of migrant workers without homes and jobs. India already had one of the world…,Mon Mar 30 04:40:04 +0000 2020,The New York Times,nytimes,45997178,900,True,,0,0
"The Seattle area, home of the first known coronavirus case in the United States, is now seeing evidence that strict… https://t.co/xA8d5kJt3B",Mon Mar 30 05:00:05 +0000 2020,The New York Times,nytimes,45997178,900,True,,372,983
RT @NYTHealth: Feeling crazy anxious over coronavirus? Who isn’t? We talked to some mental health experts about how to calm down. https://t…,Mon Mar 30 05:10:02 +0000 2020,The New York Times,nytimes,45997178,900,True,,0,0
Every soccer league in Europe has closed down because of the coronavirus except one: Belarus. The country's preside… https://t.co/wrhHAVaxOa,Mon Mar 30 05:20:05 +0000 2020,The New York Times,nytimes,45997178,900,True,,142,286
There is no firm proof that gargling prevents respiratory infections caused by the coronavirus — or any virus or ba… https://t.co/5yEY2fIaIF,Mon Mar 30 05:50:02 +0000 2020,The New York Times,nytimes,45997178,900,True,,106,260
Knockoffs of Chinese Clorox. Fake N95 respirators. As demand for virus protection soars and China ships to the worl… https://t.co/Td99wIAbBg,Mon Mar 30 06:00:09 +0000 2020,The New York Times,nytimes,45997178,900,True,,369,482
A Sri Lankan soldier convicted of killing 8 civilians — 3 of them children — has been pardoned. Rights groups accus… https://t.co/jFOvuGSXAP,Mon Mar 30 06:20:06 +0000 2020,The New York Times,nytimes,45997178,900,True,,75,133
A plane used as an air ambulance by the Philippine health department to fight the coronavirus outbreak burst into f… https://t.co/KZJyO7xkc9,Mon Mar 30 06:40:03 +0000 2020,The New York Times,nytimes,45997178,900,True,,199,375
Europe morning briefing: Here's what you need to know to start your day https://t.co/Brn3O2Dkui,Mon Mar 30 07:00:09 +0000 2020,The New York Times,nytimes,45997178,900,True,,24,81
"After SARS, Chinese health officials built a system to track contagions while evading political meddling. It broke… https://t.co/jxRwXwp2yc",Mon Mar 30 07:20:01 +0000 2020,The New York Times,nytimes,45997178,900,True,,681,1087
"The struggle for women’s equality is lagging badly in Egypt, where only 25% of women are in the labor force. But in… https://t.co/MYIAjpBysp",Mon Mar 30 07:40:02 +0000 2020,The New York Times,nytimes,45997178,900,True,,51,215
France's war in the Sahel region in West Africa resembles America's in Iraq and Afghanistan: A fight against a tech… https://t.co/awDirLRU0g,Mon Mar 30 08:00:14 +0000 2020,The New York Times,nytimes,45997178,900,True,,67,157
Oil prices have plummeted. The coronavirus has arrived. The government is out of money. A curfew has shut down comm… https://t.co/X0QDqvEbDk,Mon Mar 30 08:20:06 +0000 2020,The New York Times,nytimes,45997178,900,True,,94,192
"Across Europe, rich city dwellers have been fleeing epicenters of the coronavirus crisis to their second homes, pot… https://t.co/uoKNNZuybx",Mon Mar 30 08:40:05 +0000 2020,The New York Times,nytimes,45997178,900,True,,159,315
"Ahead of November’s election, American intelligence officials and others are on high alert for mischief from Russia… https://t.co/uaM1F5oPyl",Mon Mar 30 09:00:13 +0000 2020,The New York Times,nytimes,45997178,900,True,,50,93
"The U.S. presidential campaign, which typically dominates news coverage for much of the year, could look more like… https://t.co/x2314V7gsW",Mon Mar 30 09:20:04 +0000 2020,The New York Times,nytimes,45997178,900,True,,77,286
"Corporations are saving cash, cutting costs and refinancing debt to manage the economic fallout of the coronavirus.… https://t.co/JYPecOF7ig",Mon Mar 30 09:30:07 +0000 2020,The New York Times,nytimes,45997178,900,True,,45,108
"Officials in Spain said testing kits it bought from a Chinese company had only a 30% accuracy rate, rather than the… https://t.co/rZqf67ipkt",Mon Mar 30 09:40:06 +0000 2020,The New York Times,nytimes,45997178,900,True,,428,689
"A commercial aircraft carrying 80 tons of gloves, masks, gowns and other medical supplies from Shanghai touched dow… https://t.co/jQHz3X66Hl",Mon Mar 30 10:00:14 +0000 2020,The New York Times,nytimes,45997178,900,True,,1883,7715
"As countries around the world enact lockdowns, some world leaders have scoffed at containment efforts. The presiden… https://t.co/cwVWXBGO2L",Mon Mar 30 10:10:05 +0000 2020,The New York Times,nytimes,45997178,900,True,,130,374
"Although Twitter, Facebook and Google are better equipped to deal with the types of election interference they face… https://t.co/pMtFYV4Xwo",Mon Mar 30 10:20:05 +0000 2020,The New York Times,nytimes,45997178,900,True,,36,81
"News Analysis: ""Had the president acted sooner, thousands of new ventilators would probably be coming off productio… https://t.co/4xuL5IXgCX",Mon Mar 30 10:40:03 +0000 2020,The New York Times,nytimes,45997178,900,True,,4152,8928
RT @aimee_ortiz: A group of residents from an island town in Maine cut down a tree and dragged it into the middle of a road in an attempt t…,Mon Mar 30 11:00:10 +0000 2020,The New York Times,nytimes,45997178,900,True,,0,0
"“It’s a moment of deep crisis for the local news business, which could have been blown over by a light breeze and i… https://t.co/TC7s1knX57",Mon Mar 30 11:20:05 +0000 2020,The New York Times,nytimes,45997178,900,True,,18,93
"For today, March 30, here’s how to follow the latest on the coronavirus outbreak. We’ll update this every day. 

🌎… https://t.co/u9CHBwVfPs",Mon Mar 30 11:39:44 +0000 2020,The New York Times,nytimes,45997178,900,True,,43,66
