tweets,date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
Watch live now: https://t.co/J0Xg9GnuSM,Thu Jan 30 00:06:34 +0000 2020,Bernie Sanders,SenSanders,9192796,2343,True,,82,348
"Tonight I asked my question in Trump's impeachment trial:

President Trump claims there was no quid pro quo in hold… https://t.co/lUDqo0FxQV",Thu Jan 30 01:50:42 +0000 2020,Bernie Sanders,SenSanders,9192796,2343,True,,2508,19324
"Time and time again, large technology corporations are trampling on the rights of consumers with impunity. The job… https://t.co/9JBuVxCdf5",Thu Jan 30 14:46:09 +0000 2020,Bernie Sanders,SenSanders,9192796,2343,True,,652,3070
RT @RoKhanna: .⁦@SenSanders⁩ and my bill to stop funding for a war in Iran gets a vote on the House floor today. We expect it to pass with…,Thu Jan 30 15:32:26 +0000 2020,Bernie Sanders,SenSanders,9192796,2343,True,,0,0
"This is what oligarchy looks like: large corporations get trillions in tax cuts and subsidies, while nannies, home… https://t.co/koApxy4VUw",Thu Jan 30 16:28:19 +0000 2020,Bernie Sanders,SenSanders,9192796,2343,True,,737,2982
"I don't mind if @MarkRuffalo spoils his own movies. But please, don't ruin the surprise of our new legislation with… https://t.co/NY5iOCdOzL",Thu Jan 30 19:09:47 +0000 2020,Bernie Sanders,SenSanders,9192796,2343,True,,1961,12342
"RT @MarkRuffalo: Oops 🤷🏻‍♂️ 
#BanFracking",Thu Jan 30 19:28:15 +0000 2020,Bernie Sanders,SenSanders,9192796,2343,True,,0,0
"Instead of fixing our broken health care system, Trump continues to waste time and endanger lives trying to kick pe… https://t.co/xIuAFV0CJq",Thu Jan 30 20:09:04 +0000 2020,Bernie Sanders,SenSanders,9192796,2343,True,,949,3748
I applaud the House of Representatives for passing the Stop War Against Iran Act that I introduced with… https://t.co/LqPHDkcDFF,Thu Jan 30 21:45:59 +0000 2020,Bernie Sanders,SenSanders,9192796,2343,True,,902,4294
"RT @filipihna: Six weeks ago, @SenSanders' and @Ilhan's offices asked OSHA to send us information on the alarmingly high # of injuries at A…",Thu Jan 30 21:56:23 +0000 2020,Bernie Sanders,SenSanders,9192796,2343,True,,0,0
"We live in the richest country on earth.

School lunch debt should not exist. 
Student loan debt should not exist.… https://t.co/RGnLoQeFVF",Wed Jan 29 13:06:00 +0000 2020,Bernie Sanders,SenSanders,9192793,2343,True,,9177,59544
RT @ChrisVanHollen: Trump's one-sided plan is a recipe for even deeper division and undermines efforts to achieve a viable and sustainable…,Wed Jan 29 14:32:44 +0000 2020,Bernie Sanders,SenSanders,9192793,2343,True,,0,0
We are practically the only major nation that doesn't offer paid family leave so that parents can be with their bab… https://t.co/ZBad3dOrNS,Wed Jan 29 17:44:29 +0000 2020,Bernie Sanders,SenSanders,9192793,2343,True,,639,3058
